UTM_X	UTM_Y	GDP值
468006.585263	4544607.603526	0.010820
469050.063706	4544410.150073	0.021640
470093.537393	4544212.736222	0.010820
468812.736482	4543548.554635	0.054101
469856.201682	4543351.130887	0.010820
467863.473999	4540102.113026	1.232276
468906.905122	4539904.649791	0.019348
467626.170033	4539240.487570	1.452233
468669.592605	4539043.014489	0.571242
467388.870750	4538378.856058	1.146501
468432.284757	4538181.373141	0.348267
467151.576160	4537517.218470	0.014876
466296.725954	4530426.325992	0.012553
467340.057370	4530228.794166	0.020282
466059.465367	4529564.623203	0.150640
467102.788077	4529367.081619	0.060256
468146.105870	4529169.579122	0.003380
465822.209563	4528702.914173	0.045192
466865.523554	4528505.362841	0.045192
467908.832616	4528307.850568	0.010141
468952.136768	4528110.377332	0.003380
466628.263811	4527643.637814	0.006761
467671.564130	4527446.115775	0.006761
468714.859526	4527248.632747	0.004642
469758.150017	4527051.188708	0.003380
468477.587048	4526386.881916	0.032497
469520.868760	4526189.428066	0.013927
471607.417504	4525794.637167	0.249918
476823.704554	4524808.340284	0.003380
469283.592264	4525327.661171	0.030128
470326.860273	4525130.236433	0.030128
471370.123389	4524932.850588	0.030128
472413.381629	4524735.503613	0.030128
473456.635012	4524538.195488	0.015064
474499.883554	4524340.926193	0.075320
475543.127274	4524143.695706	0.008458
476586.366189	4523946.504006	0.014876
469046.320541	4524465.888006	14.145092
470089.579733	4524268.453450	0.158172
471132.834020	4524071.057759	0.052724
472176.083420	4523873.700911	0.070299
473219.327951	4523676.382885	0.017575
474262.567631	4523479.103660	0.067719
475305.802476	4523281.863216	0.022573
477392.257736	4522887.498585	0.023802
468809.053599	4523604.108552	0.030128
469852.303961	4523406.664189	0.052724
470895.549407	4523209.258663	0.105448
471938.789955	4523011.891952	0.070299
472982.025622	4522814.564035	0.542304
474025.256425	4522617.274891	19.726301
475068.482383	4522420.024500	0.244414
476111.703513	4522222.812841	0.022573
477154.919833	4522025.639893	0.014876
468571.791450	4522742.322792	0.015064
469615.032969	4522544.868633	0.015064
470658.269561	4522347.453282	0.015064
472744.728032	4521952.738921	0.193321
473787.949947	4521755.439869	0.682901
474831.167005	4521558.179542	3.525156
475874.379223	4521360.957918	0.015120
476917.586620	4521163.774978	0.011901
473550.648207	4520893.598575	0.246045
474593.856352	4520696.328322	20.369032
475637.059645	4520499.096745	1.792615
476680.258106	4520301.903823	0.015064
477723.451750	4520104.749536	0.011901
478766.640597	4519907.633862	0.035703
474356.550434	4519834.470824	0.009266
475399.744790	4519637.229304	0.030128
476442.934301	4519440.026411	0.918904
477486.118985	4519242.862125	0.060256
478529.298859	4519045.736424	0.044628
479572.473942	4518848.649287	0.014876
476205.615216	4518578.142724	0.045192
477248.790927	4518380.968449	14.933033
478291.961816	4518183.832731	2.205606
479335.127902	4517986.735551	0.052228
480378.289202	4517789.676886	0.011901
475968.300861	4517716.252743	0.015064
477011.467585	4517519.068490	0.234697
478054.629477	4517321.922767	0.503322
479097.786553	4517124.815553	0.550165
480140.938833	4516927.746827	0.067599
481184.086332	4516730.716568	0.368927
