UTM_X	UTM_Y	GDP值
339523.670231	3524595.011500	4.844682
342548.095650	3523831.971816	1.710878
336208.026311	3524492.733911	4.830964
337216.216024	3524238.361127	6.883933
338224.388551	3523983.994021	5.843492
339232.543907	3523729.632570	4.766839
340240.682109	3523475.276752	3.669911
341248.803173	3523220.926541	3.031480
342256.907117	3522966.581917	2.836456
343264.993957	3522712.242854	2.609131
344273.063710	3522457.909329	2.482459
345281.116393	3522203.581320	2.734723
347297.170612	3521694.941754	0.196075
334908.791620	3523881.724834	0.399921
335916.977854	3523627.342820	52.463825
336925.146871	3523372.966485	7.401754
337933.298690	3523118.595805	7.169366
338941.433325	3522864.230756	4.705006
339949.550795	3522609.871316	5.235236
340957.651116	3522355.517461	9.549487
341965.734304	3522101.169168	4.173333
342973.800376	3521846.826413	3.547224
343981.849349	3521592.489173	3.739922
344989.881239	3521338.157425	5.493943
345997.896064	3521083.831145	43.873405
347005.893839	3520829.510311	68.898392
332601.396798	3523525.102437	1.245431
333609.596846	3523270.705528	0.615121
334617.779632	3523016.314321	2.957024
335625.945173	3522761.928792	13.064790
336634.093487	3522507.548918	13.542062
337642.224589	3522253.174675	15.566901
338650.338497	3521998.806040	10.139297
339658.435226	3521744.442990	12.105016
340666.514795	3521490.085502	7.007395
341674.577219	3521235.733552	5.658449
342682.622516	3520981.387116	3.458771
343690.650701	3520727.046173	4.416290
344698.661791	3520472.710697	6.551807
345706.655804	3520218.380667	8.881749
346714.632755	3519964.056058	68.628090
347722.592662	3519709.736847	7.053366
331302.245306	3522914.081962	7.073611
332310.441967	3522659.675895	7.431341
333318.621338	3522405.275530	5.616899
334326.783436	3522150.880842	6.956467
335334.928277	3521896.491809	8.443303
336343.055879	3521642.108408	13.651030
337351.166257	3521387.730614	101.134644
338359.259429	3521133.358404	318.123932
339367.335411	3520878.991756	6.134550
340375.394220	3520624.630646	7.368261
341383.435873	3520370.275051	7.356261
342391.460385	3520115.924947	5.338572
343399.467774	3519861.580311	6.502107
344407.458057	3519607.241120	14.408302
345415.431250	3519352.907351	5.526007
346423.387370	3519098.578979	0.271583
347431.326434	3518844.255982	44.670422
348439.248458	3518589.938337	10.861997
331011.326964	3522048.635835	6.424972
332019.502953	3521794.226347	18.689184
333027.661640	3521539.822537	13.807770
334035.803043	3521285.424380	16.495171
335043.927176	3521031.031855	8.881835
336052.034058	3520776.644937	8.904480
337060.123705	3520522.263604	15.227324
338068.196133	3520267.887832	8.627554
339076.251359	3520013.517598	4.031815
340084.289400	3519759.152878	4.174061
341092.310273	3519504.793649	104.305626
342100.313994	3519250.439888	6.446409
343108.300580	3518996.091572	5.366216
344116.270047	3518741.748677	8.622781
345124.222413	3518487.411179	56.595566
346132.157693	3518233.079057	2.584054
347140.075905	3517978.752286	2.262346
348147.977066	3517724.430842	41.380508
329712.251818	3521437.585249	0.519153
330720.424458	3521183.166673	0.977244
331728.579767	3520928.753775	25.973803
332736.717762	3520674.346531	24.361355
333744.838461	3520419.944918	16.707920
334752.941879	3520165.548912	9.584405
335761.028033	3519911.158490	4.396356
336769.096940	3519656.773629	7.746617
337777.148616	3519402.394305	8.817898
338785.183079	3519148.020496	3.367704
339793.200345	3518893.652178	2.767912
340801.200430	3518639.289328	3.145951
341809.183351	3518384.931921	5.145295
342817.149126	3518130.579936	3.835506
343825.097770	3517876.233349	7.196139
344833.029300	3517621.892136	55.865589
345840.943733	3517367.556274	2.434661
346848.841086	3517113.225740	0.975553
347856.721375	3516858.900510	8.941587
348864.584617	3516604.580562	41.507133
329421.385831	3520572.096408	179.115799
330429.537796	3520317.674458	50.767826
331437.672417	3520063.258161	8.133499
332445.789713	3519808.847495	11.814965
333453.889700	3519554.442437	6.746450
334461.972394	3519300.042962	5.191872
335470.037812	3519045.649047	21.599854
336478.085972	3518791.260670	7.705129
337486.116889	3518536.877807	8.386277
338494.130580	3518282.500435	6.239264
339502.127062	3518028.128530	78.474495
340510.106352	3517773.762070	2.864683
341518.068466	3517519.401030	2.699931
342526.013422	3517265.045388	4.578781
343533.941234	3517010.695119	4.493373
344541.851921	3516756.350202	6.245058
345549.745499	3516502.010613	6.395488
346557.621985	3516247.676327	0.683679
347565.481395	3515993.347323	8.921578
348573.323746	3515739.023576	62.608204
349581.149054	3515484.705064	43.824539
350588.957337	3515230.391763	0.479149
328122.387055	3519961.015453	3.326941
330138.666987	3519452.159172	7.503570
331146.780913	3519197.739489	17.282082
332154.877501	3518943.325413	8.489936
333162.956769	3518688.916920	10.224681
334171.018731	3518434.513988	4.342639
335179.063406	3518180.116593	10.300625
336187.090810	3517925.724711	9.874012
337195.100960	3517671.338321	5.808937
338203.093872	3517416.957397	7.529071
339211.069563	3517162.581917	10.039868
340219.028050	3516908.211858	2.652831
341226.969349	3516653.847196	2.559839
342234.893476	3516399.487908	2.478605
343242.800450	3516145.133971	2.651250
344250.690286	3515890.785362	5.815897
345258.563001	3515636.442056	17.035402
346266.418612	3515382.104031	8.063633
347274.257135	3515127.771264	1.190937
348282.078587	3514873.443731	54.007832
349289.882984	3514619.121408	38.759979
350297.670344	3514364.804274	45.008797
351305.440683	3514110.492303	0.093707
326823.428109	3519349.923707	0.215385
332872.039677	3517823.368351	9.747973
333880.080900	3517568.961973	10.214552
334888.104824	3517314.561109	6.634485
335896.111464	3517060.165735	66.190399
336904.100839	3516805.775828	8.532228
337912.072964	3516551.391364	6.192747
338920.027855	3516297.012321	3.259107
339927.965531	3516042.638675	2.642932
340935.886007	3515788.270403	2.279856
341943.789300	3515533.907481	2.597738
342951.675426	3515279.549887	4.113072
343959.544403	3515025.197596	83.927933
344967.396247	3514770.850587	12.286297
345975.230975	3514516.508834	11.040771
346983.048603	3514262.172315	12.300908
347990.849148	3514007.841007	11.714614
348998.632627	3513753.514887	6.012927
350006.399057	3513499.193930	37.708660
351014.148453	3513244.878114	3.968986
352021.880833	3512990.567416	3.004474
333589.158909	3516703.386900	9.973433
334597.162074	3516448.982578	7.730894
335605.147943	3516194.583723	5.469551
336613.116535	3515940.190311	9.775208
337621.067864	3515685.802320	83.514961
338629.001949	3515431.419725	5.834933
339636.918805	3515177.042504	3.498528
340644.818450	3514922.670633	3.702643
341652.700900	3514668.304089	31.215923
342660.566172	3514413.942849	4.990367
343668.414282	3514159.586890	7.495719
344676.245248	3513905.236187	14.859693
345684.059085	3513650.890718	12.142941
346691.855810	3513396.550460	7.987027
347699.635441	3513142.215389	6.202646
348707.397993	3512887.885481	4.423321
349715.143484	3512633.560715	5.263225
350722.871930	3512379.241065	5.009598
351730.583347	3512124.926510	8.718455
352738.277753	3511870.617025	14.706904
353745.955164	3511616.312587	0.729272
354753.615597	3511362.013173	12.763141
355761.259068	3511107.718760	10.985448
356768.885595	3510853.429324	3.994842
358784.087879	3510344.865290	76.548454
334306.235165	3515583.380983	6.447877
335314.200256	3515328.978659	5.119865
336322.148056	3515074.581754	8.110486
337330.078583	3514820.190246	6.537725
338337.991853	3514565.804111	5.675392
339345.887883	3514311.423327	4.356530
340353.766689	3514057.047869	2.254845
341361.628288	3513802.677715	2.893136
342369.472697	3513548.312841	5.076667
343377.299932	3513293.953223	38.289516
344385.110011	3513039.598840	23.565569
345392.902950	3512785.249667	7.463466
346400.678764	3512530.905680	7.025023
347408.437473	3512276.566858	9.036217
348416.179091	3512022.233175	4.906328
349423.903635	3511767.904610	4.320104
350431.611122	3511513.581139	9.852558
351439.301570	3511259.262738	9.241179
352446.974993	3511004.949384	6.244812
353454.631410	3510750.641054	12.096712
354462.270837	3510496.337724	9.121221
355469.893290	3510242.039372	12.839018
356477.498786	3509987.745973	41.135517
357485.087342	3509733.457505	21.364214
358492.658975	3509479.173944	20.473892
359500.213700	3509224.895266	2.188160
335023.268412	3514463.350525	10.749580
336031.195413	3514208.950139	8.358582
337039.105129	3513954.555126	14.271843
338046.997576	3513700.165463	87.542458
339054.872771	3513445.781127	6.817682
340062.730731	3513191.402094	4.519078
341070.571471	3512937.028340	2.274270
342078.395010	3512682.659844	5.916965
343086.201363	3512428.296581	245.582993
344093.990547	3512173.938528	33.409504
345101.762579	3511919.585662	6.989541
346109.517475	3511665.237959	4.826965
347117.255253	3511410.895397	4.924717
348124.975929	3511156.557951	86.753342
349132.679519	3510902.225599	5.765328
350140.366040	3510647.898317	7.111520
351148.035510	3510393.576083	8.031752
352155.687943	3510139.258872	14.041155
353163.323358	3509884.946661	115.129410
354170.941771	3509630.639427	17.166349
355178.543198	3509376.337147	13.826928
356186.127656	3509122.039797	184.853058
357193.695162	3508867.747354	13.014117
358201.245733	3508613.459795	16.388941
359208.779384	3508359.177097	10.221824
360216.296134	3508104.899235	5.778247
361223.795997	3507850.626187	2.657193
362231.278992	3507596.357929	9.609051
335740.258615	3513343.295448	20.461275
336748.147512	3513088.896942	25.581165
337756.019128	3512834.503763	13.213043
338763.873481	3512580.115886	7.832193
339771.710586	3512325.733289	4.099680
340779.530460	3512071.355949	80.515427
341787.333120	3511816.983842	10.960402
342795.118582	3511562.616944	35.227589
343802.886864	3511308.255234	21.794596
344810.637982	3511053.898687	8.760759
345818.371952	3510799.547279	3.728013
346826.088792	3510545.200989	4.294900
347833.788517	3510290.859791	3.963882
348841.471145	3510036.523664	7.357057
349849.136693	3509782.192584	9.245320
350856.785176	3509527.866527	9.665573
351864.416612	3509273.545471	15.566050
352872.031017	3509019.229391	16.621376
353879.628407	3508764.918264	15.587622
354887.208801	3508510.612068	8.957363
355894.772213	3508256.310779	12.043147
356902.318662	3508002.014374	19.274649
357909.848163	3507747.722828	15.291355
358917.360733	3507493.436120	13.460196
359924.856388	3507239.154225	1.315672
360932.335147	3506984.877120	2.057182
361939.797024	3506730.604783	7.687991
362947.242037	3506476.337188	5.236762
336457.205741	3512223.215677	191.392227
337465.056519	3511968.818993	11.049845
338472.890020	3511714.427588	5.639950
339480.706263	3511460.041439	8.848426
340488.505263	3511205.660523	8.443014
341496.287036	3510951.284817	9.979735
342504.051601	3510696.914297	85.715218
