地址	城市	lat_transformed	lon_transformed	Price
北京市海淀区西三环北路27号院	北京市	440433.88023448735	4422078.625626888	90976.0
北京市海淀区西三环北路23号院	北京市	440272.53182941384	4422667.755507887	88552.0
北京市海淀区厂洼街1号院	北京市	440196.6809598551	4422670.853322954	92414.0
北京市海淀区厂洼街17号院	北京市	439865.58054130734	4422642.889875626	97255.0
北京市海淀区厂洼西街10号院	北京市	439670.21401176817	4422814.118378057	88571.0
北京市海淀区厂洼街7号院	北京市	439984.3628513626	4422535.24931314	95334.0
北京市海淀区厂洼街23号院	北京市	439797.0343967122	4422577.980128098	94728.0
北京市海淀区厂洼街3号院	北京市	440076.61004021403	4422589.818048445	95890.0
北京市海淀区厂洼西街6号院	北京市	439833.1143146325	4422896.840286417	125088.0
北京市海淀区厂洼小区	北京市	440118.53875632805	4423246.5969176665	94142.0
北京市海淀区厂洼西街甲1号院	北京市	439681.268925612	4423017.573068019	147292.0
北京市昌平区环山村	北京市	434054.2371697626	4452430.999392439	49375.0
北京市昌平区北辰香麓	北京市	429351.26298387925	4433167.06320956	53317.0
北京市昌平区北分厂	北京市	434054.2371697626	4452430.999392439	60108.0
北京市昌平区三嘉信苑	北京市	431786.8396486795	4442012.939487962	44552.0
北京市昌平区翠湖别墅B区	北京市	431794.97151560837	4440384.520391132	82138.0
北京市昌平区保利西山林语别墅	北京市	432969.58655786613	4432096.516274639	57036.0
北京市昌平区温泉路45号院	北京市	448424.75516658055	4447942.484904726	53768.0
北京市昌平区西六砖瓦厂家属楼	北京市	445871.5915848054	4434927.030554007	52601.0
北京市昌平区翠湖别墅C区	北京市	431794.97151560837	4440384.520391132	85113.0
北京市昌平区老年医院家属楼	北京市	445537.1137866363	4436217.490997435	56654.0
北京市昌平区林科院宿舍	北京市	432096.4987286569	4452417.812713701	89154.0
北京市昌平区上庄馨瑞嘉园	北京市	432598.7743441641	4441766.888630444	43825.0
北京市昌平区卫生局党校	北京市	434054.2371697626	4452430.999392439	52716.0
北京市昌平区上庄家园	北京市	433000.4575203615	4438791.53912544	55561.0
北京市昌平区颐丰庄园	北京市	433892.30310869473	4437033.362907819	61828.0
北京市昌平区冠城大通百旺府	北京市	436068.66186673153	4436867.939080281	80991.0
北京市昌平区航天城小区	北京市	437316.0590359152	4436346.542279696	105156.0
北京市昌平区首创天阅西山	北京市	435195.4785665996	4436613.363745183	98595.0
北京市昌平区海淀嘉郡	北京市	432010.74815750227	4442050.298153466	47835.0
北京市昌平区北京地球站院内西宿舍楼	北京市	437800.00599685113	4433487.209336614	31465.0
北京市昌平区海淀幸福里	北京市	436514.4291245222	4437133.039592368	95835.0
北京市昌平区海淀上郡	北京市	435031.32700934936	4441615.863043461	46508.0
北京市昌平区中国铁建环保嘉苑	北京市	434054.2371697626	4452430.999392439	56552.0
北京市昌平区正源尚峰尚水	北京市	425704.2475913044	4438628.701974777	69516.0
北京市昌平区凯盛家园	北京市	428930.27335063985	4433381.19219674	52152.0
北京市昌平区保利西山林语	北京市	432717.77537311363	4432085.623680237	63393.0
北京市昌平区拓然家苑	北京市	434477.17156265635	4449926.553730735	33396.0
北京市昌平区金科廊桥水岸	北京市	437845.47885634744	4449473.593540586	54346.0
北京市昌平区宜山居	北京市	440641.3857686373	4450944.605067578	37537.0
北京市昌平区企业墅上区	北京市	439450.9000602956	4449981.810242894	23606.0
北京市昌平区泰禾拾景园	北京市	438766.65862808074	4450636.637203317	49250.0
北京市昌平区招商都会湾	北京市	437912.73299039406	4451366.855954087	48663.0
北京市昌平区路劲世界城一期	北京市	439135.7201818111	4450719.240925847	40352.0
北京市昌平区龙凤山语	北京市	434054.2371697626	4452430.999392439	29830.0
北京市昌平区国惠村	北京市	439723.37016273243	4451627.47612735	35312.0
北京市昌平区路劲世界城二期	北京市	439193.0670724863	4450578.93884489	44150.0
北京市昌平区长滩壹号	北京市	437745.6124078866	4449731.698445481	51637.0
北京市昌平区北郡嘉源	北京市	438051.8242480861	4449762.530305686	36472.0
北京市昌平区花雨汀	北京市	434456.35139537894	4449654.801077989	37043.0
北京市昌平区龙山华府	北京市	435373.47599844285	4449980.001352581	38376.0
北京市昌平区中国铁建青秀尚城	北京市	438331.0886475625	4450685.156916803	47352.0
北京市昌平区自来水宿舍楼	北京市	435633.38922661135	4449963.479728962	36988.0
北京市亦庄开发区区康乐园	北京市	419457.8738095439	4391031.739508843	33748.0
北京市亦庄开发区区菊源南里	北京市	450214.16684305697	4404195.200216582	38069.0
北京市亦庄开发区区菊源里	北京市	449851.78229688434	4404702.329241008	44304.0
北京市亦庄开发区区清和园东区	北京市	451286.12963764946	4406288.059529056	33612.0
北京市亦庄开发区区清和园	北京市	451000.1341236314	4406200.226262965	34153.0
北京市亦庄开发区区巧克力城	北京市	471891.1483010374	4411218.841566517	44083.0
北京市亦庄开发区区清和园甲区	北京市	451000.1341236314	4406200.226262965	35239.0
北京市亦庄开发区区德林园	北京市	453147.9643996875	4406975.5322417235	43733.0
北京市亦庄开发区区朗润园二期	北京市	453002.7246903424	4406253.947455819	63854.0
北京市亦庄开发区区佳和园老区	北京市	452026.538522874	4406370.026440084	32967.0
