地址	城市	lat_transformed	lon_transformed	Price
杭州市上城区三衙前	杭州市	3347098.157744045	514868.24903296446	77994.0
杭州市上城区蔡官巷公寓	杭州市	3346509.1359410174	514941.5918732225	105502.0
杭州市上城区耀江广厦	杭州市	3347570.0798040945	515479.486272926	68668.0
杭州市上城区南山路小区	杭州市	3346512.3217054824	514674.951889161	81072.0
杭州市上城区四条巷	杭州市	3346860.7021450633	515023.4321546753	73254.0
杭州市上城区柳浪东苑	杭州市	3346990.4125152547	515155.3062782005	94186.0
杭州市上城区光复路小区	杭州市	3347956.8663282013	516013.01732890884	41937.0
杭州市上城区清波苑	杭州市	3347548.7008079574	515327.28534165164	89451.0
杭州市上城区后市街	杭州市	3347440.83926953	515852.8839560205	45900.0
杭州市上城区祠堂巷	杭州市	3347152.3549357103	515898.8885769815	48545.0
杭州市上城区东太平巷	杭州市	3347088.5812368775	515735.5457915889	41312.0
杭州市上城区柳翠井巷	杭州市	3347241.0181239727	516077.8315370745	37780.0
杭州市上城区三元地	杭州市	3347247.6856118063	515652.86239493947	44670.0
杭州市上城区由义弄	杭州市	3347123.057114233	515766.6755537182	55567.0
杭州市上城区太平坊巷	杭州市	3347221.664572109	515906.9893422123	45247.0
杭州市上城区水沟巷	杭州市	3345511.056713341	518555.1804622073	49671.0
杭州市上城区十三湾巷	杭州市	3347254.70851094	515694.7495874415	44668.0
杭州市上城区广宇吴山鸣翠苑	杭州市	3346473.728282035	515055.75254174223	119925.0
杭州市上城区四宜路14号	杭州市	3346487.858330744	515133.93036954507	67668.0
杭州市上城区柳浪阁	杭州市	3346743.6212211554	514952.64622148935	53938.0
杭州市上城区中山中路191号	杭州市	3347729.840717351	515980.3518704677	48165.0
杭州市上城区景云村小区	杭州市	3347202.282644719	515038.8667889749	72145.0
杭州市上城区荷花池头	杭州市	3347158.346143435	514899.8258158002	69875.0
杭州市上城区定安路44号	杭州市	3347469.920790802	515586.0166645029	43827.0
杭州市上城区西湖大道261、263、265号	杭州市	3347576.8101299386	515251.3692962329	50737.0
杭州市上城区柳翠桥弄2-3号	杭州市	3347317.7771023912	516061.4951558759	42114.0
杭州市上城区定安东苑	杭州市	3347499.077714187	515925.96945247275	45667.0
杭州市上城区火药局弄49号	杭州市	3347596.647280886	515624.2470923141	50529.0
杭州市上城区中山苑	杭州市	3347230.200304128	516090.39833716734	37290.0
杭州市上城区西湖定安名都	杭州市	3347577.323450546	515706.909788834	92422.0
杭州市上城区西湖大道261、263、265号	杭州市	3347576.8101299386	515251.3692962329	50737.0
杭州市上城区柳翠桥弄2-3号	杭州市	3347317.7771023912	516061.4951558759	42114.0
杭州市上城区定安东苑	杭州市	3347499.077714187	515925.96945247275	45667.0
杭州市上城区火药局弄29号	杭州市	3347453.967294608	515495.3936329506	43720.0
杭州市上城区惠民苑小区	杭州市	3347357.0552020483	516102.4623762019	40800.0
杭州市上城区涌金花园	杭州市	3347555.2309690695	515135.7554266357	84372.0
杭州市上城区火药局弄49号	杭州市	3347596.647280886	515624.2470923141	50529.0
杭州市上城区中山苑	杭州市	3347230.200304128	516090.39833716734	37290.0
杭州市上城区西湖定安名都	杭州市	3347577.323450546	515706.909788834	92422.0
杭州市上城区中山中路191号	杭州市	3347729.840717351	515980.3518704677	48165.0
杭州市上城区景云村小区	杭州市	3347202.282644719	515038.8667889749	72145.0
杭州市上城区荷花池头	杭州市	3347158.346143435	514899.8258158002	69875.0
杭州市上城区柳浪阁	杭州市	3346743.6212211554	514952.64622148935	53938.0
