地址	城市	lat_transformed	lon_transformed	Price
上海市徐汇区鑫龙苑	上海市	351683.68436799	3448337.8881268413	83746.0
上海市徐汇区百龙小区	上海市	351799.8303928704	3446916.6465389156	66742.0
上海市徐汇区汇达苑	上海市	350677.53028731875	3447444.0310231014	70859.0
上海市徐汇区天然居	上海市	351388.7062820078	3446810.9097259347	108983.0
上海市徐汇区恒龙苑	上海市	350656.8943663379	3447572.933625098	60306.0
上海市徐汇区天龙苑	上海市	351599.56166084716	3448199.4824996875	78531.0
上海市徐汇区华滨家园	上海市	351798.89473850816	3446370.383677169	75961.0
上海市徐汇区挹翠苑	上海市	351484.09615380364	3447904.106787356	85362.0
上海市徐汇区华沁家园	上海市	351861.24046038673	3446022.3929823856	75570.0
上海市徐汇区东泉小区	上海市	351359.4399075796	3448146.374438805	67219.0
上海市徐汇区中恒苑	上海市	351597.15927838715	3446346.488883707	68105.0
上海市徐汇区绿邑翠苑	上海市	351716.7469349456	3448228.2431006287	89008.0
上海市徐汇区罗秀三村	上海市	351467.85110196855	3445732.490503412	57094.0
上海市徐汇区园南新村	上海市	350854.4747804026	3446404.925084926	76132.0
上海市徐汇区鑫隆花园	上海市	351139.9040631076	3446241.792602856	58988.0
上海市徐汇区东泉佳苑	上海市	351313.4079042906	3447923.203832884	61864.0
上海市徐汇区平福路12弄	上海市	351392.4871735985	3446698.7282338142	80581.0
上海市杨浦区国伟路58弄	上海市	360516.40160325915	3467677.1300628716	50584.0
上海市杨浦区中原路99弄	上海市	359739.26124653185	3465558.975702965	54523.0
上海市杨浦区顺达苑	上海市	360789.3451976301	3467285.8192594694	51366.0
上海市杨浦区长海四村	上海市	359130.06325491506	3464798.5712384693	53631.0
上海市杨浦区工农四村星源绿苑	上海市	360801.56303486833	3466469.370672946	54285.0
上海市杨浦区开鲁路31弄	上海市	360858.6211833003	3466706.591388804	50402.0
上海市杨浦区工农四村星源公寓	上海市	360958.4403408489	3466495.9679389754	52998.0
上海市杨浦区翔殷路352号	上海市	360484.05747294705	3464800.202330795	59761.0
上海市杨浦区君叶公寓	上海市	358715.24317583255	3465047.710042913	66307.0
上海市杨浦区殷行路303号	上海市	360664.09600640775	3467110.2669168515	58443.0
上海市杨浦区潘阳小区	上海市	355613.41287670867	3459959.334841621	52676.0
上海市杨浦区梅林小区	上海市	360730.07235365734	3464930.0442671296	53985.0
上海市杨浦区盛世豪园(一期)	上海市	358586.8843142531	3465988.8873716528	82446.0
上海市杨浦区东方名城	上海市	358921.863091173	3466084.555253986	76718.0
上海市杨浦区民欣苑	上海市	360479.01950621593	3465148.230643171	54855.0
上海市杨浦区翔殷四村	上海市	360646.5024702624	3465208.751405948	64223.0
上海市杨浦区星云苑	上海市	360888.9539972448	3465099.359157179	75451.0
上海市杨浦区开鲁二村	上海市	359473.99493510387	3466583.924614231	50886.0
上海市杨浦区市京一村	上海市	359024.19963808137	3466274.3471483975	49409.0
上海市杨浦区星鸿佳苑	上海市	360629.6802200981	3464903.840574876	76578.0
上海市杨浦区国京路60弄	上海市	358044.67659636063	3465131.9713070053	62705.0
上海市杨浦区世界路65弄	上海市	359241.43969471555	3466058.7951154155	58950.0
上海市杨浦区政立路80弄	上海市	358776.1856782085	3464891.054682288	59008.0
上海市杨浦区民星路600弄	上海市	359929.61894337274	3465376.370838437	53900.0
上海市杨浦区市光路60弄	上海市	358143.63777545106	3465231.263016562	61749.0
上海市杨浦区三门路24弄	上海市	358569.4038201151	3465233.9291047044	51956.0
上海市杨浦区殷行路718弄	上海市	359713.03471159405	3467297.601963414	60038.0
上海市杨浦区世晶花苑	上海市	358907.6504831993	3466485.432079617	72427.0
上海市杨浦区市光路70弄	上海市	358191.33507983823	3465382.825573727	63083.0
上海市杨浦区民京路838弄	上海市	358978.6389084555	3466495.0149341975	55148.0
上海市杨浦区民星路350弄	上海市	360820.06682727265	3465362.1791227674	52072.0
上海市杨浦区民星路408弄	上海市	360413.43591344426	3465364.9069346646	45717.0
上海市杨浦区开鲁一村	上海市	359790.411731426	3466518.717421684	52645.0
上海市杨浦区工农四村五街坊	上海市	360754.1938688748	3466510.6535508963	55711.0
上海市杨浦区龙腾公寓	上海市	358218.97886542766	3465470.8702944578	68104.0
上海市杨浦区阳光欧洲公寓	上海市	356740.9768579146	3454240.0020091366	62275.0
上海市杨浦区体院小区	上海市	358925.9237056135	3465474.44255465	55284.0
上海市杨浦区兴浦新村	上海市	359762.3887754878	3467842.344000434	43658.0
上海市杨浦区开鲁六村	上海市	359717.75784987444	3467092.9735020283	49634.0
上海市杨浦区长恒苑	上海市	359202.90987661586	3465004.0629844107	67543.0
上海市杨浦区开鲁五村	上海市	359430.7742789482	3467023.2254690113	56110.0
上海市杨浦区翔殷三村	上海市	360655.7219983707	3465068.466628847	61415.0
上海市杨浦区闸殷小区	上海市	359568.42750865244	3467350.5122464118	48881.0
上海市杨浦区三门路48弄	上海市	358344.7631449166	3465249.5054139746	52754.0
上海市杨浦区国和路605弄	上海市	358731.75541461096	3465552.995221157	54129.0
上海市杨浦区长海路137弄	上海市	359796.9223873871	3465256.393873358	52851.0
上海市杨浦区民京路837弄	上海市	359005.6767792284	3466460.273344526	51318.0
上海市杨浦区翔殷大楼	上海市	359050.84065223765	3464330.6123467768	56756.0
上海市杨浦区民富家园	上海市	358265.9000069258	3465145.5787533675	67563.0
