lon	lat	Level1	Level2
4383363.621955871	386676.6158191529	0	0
4383257.419204756	387021.3421008666	0	0
4382881.873468937	387184.3187221296	0	0
4382726.937251142	387362.8331468276	0	0
4382680.130509689	387341.817022977	0	0
4380683.451002978	420668.3380321709	4	7
4379638.862887121	389054.09210581984	4	7
4377006.541648958	391349.0215407443	4	10
4380313.495929104	387816.7118745393	2	3
4380060.491596026	387627.7607706157	2	3
4380398.60579723	387007.5018000832	2	3
4380502.976978636	386963.4933420855	2	3
4380565.666241819	386963.6467978398	2	3
4380579.008897149	386945.88246496394	2	3
4380672.532927156	386918.9019393679	2	3
4380746.101870571	386915.73829489626	2	3
4380617.082731506	404450.2754370206	4	10
4380516.480571229	404864.6662374843	2	3
4374618.244958692	393822.42068193696	4	7
4374516.335882337	393230.46715486184	2	3
4374534.93145079	394447.8041985891	4	7
4383370.869535319	406130.81592999044	2	3
4382366.474013163	414892.58240144764	4	10
4381685.735640747	414669.9685898772	4	10
4381986.191649748	415101.18080933025	4	10
4382011.582015845	430604.2174981512	4	10
4381903.8882740475	427044.66638885357	4	10
4373002.265181596	399107.9914728523	4	7
4374082.670911056	400107.14933468844	4	7
4370529.060581917	401492.14683454705	4	7
4370477.810466343	401509.18156119855	4	7
4370437.488792534	401534.07388873247	4	7
4369824.203005919	403129.2932808725	4	7
4373271.969728914	398607.0256256552	4	7
4377485.679401556	400853.4917697907	4	7
4380393.326270522	406533.7908460666	4	6
4380994.422088426	406172.0080487034	4	10
4374769.902781319	391823.7431592153	4	10
4379103.460678797	388963.38948646985	4	7
4378337.567589136	389237.3042095821	4	7
4378765.824971452	389233.99927437876	4	7
4378805.462443392	389230.7073726614	4	7
4378852.010072508	389173.47607365344	4	7
4378899.279922177	389139.4147835457	4	7
4378569.5354563305	389436.59570898453	4	7
4375198.4440273885	390573.61545608065	1	2
4378153.399025123	390116.3184535055	1	2
4378215.645249334	390180.8629834185	1	2
4374435.082475458	391125.6045677108	1	2
4373850.75216516	393283.6323771386	2	3
4381227.4207693	414109.8044320373	2	3
4380629.963064906	416023.2860432951	4	10
4383612.497173029	387022.4006307309	4	10
4382821.404443956	387385.49882765574	3	5
4383801.682914515	387171.9623762759	4	9
4425057.80286443	387984.58436042554	4	10
4425126.819283927	387739.7381472299	2	3
4425399.194739114	387980.1685472085	4	7
4425312.013368372	388297.41411908495	4	10
4425686.098234555	388427.27953856054	4	7
4425663.583544999	388756.50006380945	4	10
4425945.409959365	388703.18688491697	4	7
4425953.470544575	388301.60324572615	4	9
4426105.611531479	388797.6937631867	4	9
4425525.873290887	388047.8065125368	2	3
4384176.733125835	394392.6423347996	4	9
4384519.890295588	394710.2530567434	4	10
4384579.889300046	395094.1714607731	4	10
4385308.122279589	394304.5241375949	4	10
4385665.801286767	393973.66300409584	4	10
4384480.595193335	394154.610925889	4	10
4388817.528453717	400058.65724625636	4	10
4388965.061193551	400195.85315466695	3	5
4389455.055770021	399614.38076188357	4	10
4389148.56254817	400418.4388218282	0	0
4387935.804905634	401758.08402401255	4	10
4388249.220660906	402007.80078737525	4	7
4379208.2528312495	403061.42225109966	0	0
4379260.920278841	403155.47969159053	4	10
4425420.773160106	413461.44722202903	4	6
4424456.067247891	413283.4812911376	4	10
4426172.197328569	413497.91859655146	4	10
4424661.6520373095	412947.76114477025	2	3
4413942.555448046	416917.261332728	4	7
4413828.00302765	417237.30720401154	2	3
4414150.552644883	416653.58908710955	4	6
4414171.018927493	417005.9995041174	0	0
4414274.688098532	417771.8868193319	2	3
4414450.705607072	418501.2016577872	4	10
4413835.243758108	416511.56729895226	4	10
4414192.121245542	417577.82433985017	4	10
4413789.090269191	417356.4200606013	4	10
4413151.670701357	417150.5815828111	4	7
4414370.938937159	418964.2537639625	4	10
4415472.511876945	416310.56928310974	4	10
4415143.673419641	418358.8307004584	0	0
4414565.215803776	417502.77124081453	4	9
4415618.728341734	416109.32451533875	0	0
4415762.605662603	416268.1740685182	0	0
4414907.789145141	418745.1407418198	0	0
4414938.507248242	416267.7785421212	4	6
4411748.471474687	417837.77839509305	2	3
4381895.730543412	420909.23618768266	4	10
4383468.305648513	420637.3888406805	4	10
4410537.909190847	420721.99989238573	4	10
4383768.7577847475	423352.043018128	4	10
4384287.5663213385	423875.2166488107	4	10
4384137.044811739	423418.8331495286	4	7
4384281.182802495	424460.8899851059	4	10
4384693.095411346	423970.5907112098	0	0
4381269.033190098	423967.3391455398	2	3
4382969.821373532	424076.5583733175	4	9
4381988.892182828	423973.1829736483	3	5
4382955.688312058	424186.3362185161	4	7
4381399.099473094	424825.71881376364	4	10
4385905.464569667	425321.2696775034	4	10
4436871.437561863	426577.76864101255	4	7
4437007.677734719	426123.17076060356	2	3
4437328.492512067	426473.3439654375	4	6
4379408.985907057	435768.52314322494	4	10
4380991.823355527	436071.37018834584	4	10
4380137.558521691	435395.7311907353	4	10
4380779.877587733	433924.3017686616	3	5
4381834.058545511	434816.2622195057	4	10
4382970.81361782	434311.75279905635	4	10
4386540.9029459795	433530.2149142257	4	10
4385413.342716166	433325.3073662039	4	10
4369642.819268246	440851.5036326886	4	10
4369843.533855565	441042.77938612766	4	10
4369784.363302068	441312.6716365956	4	10
4369851.970625648	441328.65650792717	4	10
4369792.55832463	441013.2858504026	4	10
4369935.246018265	441326.4447772576	4	10
4371739.78603701	438592.0021979751	4	10
4370953.242303999	439981.71748826036	4	10
