lon	lat	Level1	Level2
3420624.1260398356	307606.2550480302	4	10
3420725.260107991	307792.8135169763	4	10
3420199.663814429	307623.9838416937	4	10
3420115.9983449895	307213.2949748858	4	10
3421493.529740175	307392.2239788787	4	10
3418369.3382492405	310075.4327421245	4	6
3419068.4115830087	308954.66463626485	4	10
3422626.2361379764	308492.07334447367	0	0
3428958.5115122274	308423.16783617466	4	7
3415042.6829034374	317139.9417963157	4	6
3406566.0844499357	326224.24149549776	4	10
3406291.981667372	324839.82697575545	4	10
3407412.414459233	328005.9989496276	4	10
3406693.0750454227	326456.74572959886	4	10
3399959.8782181027	333938.94620107557	4	10
3400637.816165791	334001.7007674249	4	6
3401097.860967615	333964.139287746	2	3
3401268.7205480984	333957.6648525991	4	10
3397988.5368239945	333367.4390826758	4	10
3398475.4484293605	333417.4247667211	2	3
3412040.2154881684	307343.79965299915	2	3
3412415.3430830007	307126.9464104957	2	3
3399630.936146685	333278.90042719466	4	10
3477656.4271354005	324173.2136723101	0	0
3434577.3262097696	300584.82903667615	4	10
3434965.7512113675	300680.27140584984	2	3
3434836.814101368	300979.9725873612	2	3
3435481.713206337	301151.079329097	4	6
3434943.663433028	300417.6409475643	4	10
3435682.4255932965	300753.60436661344	4	10
3436367.4047292788	300756.9309017918	4	6
3437203.1778149973	300944.23242716753	2	3
3437317.705122323	300930.6523535998	2	3
3437603.797919959	301098.70547715656	3	5
3437354.914998462	301154.76487377833	4	10
3435961.665955961	301421.33341851766	0	0
3434879.799012396	301368.0502075747	2	3
3438361.118347083	301051.8675497109	0	0
3439235.391855618	300997.6105350627	0	0
3438958.2172604897	300903.58581361984	4	10
3438056.4398870296	300856.41580641764	3	5
3446406.33089898	302321.9134553642	4	6
3445068.392804267	301289.6481006629	2	3
3444941.7503628912	301782.0840370751	2	3
3444914.6048382213	301772.0198962764	2	3
3444325.571815945	301400.8848392639	2	3
3444314.6941260146	301385.06652593415	2	3
3444305.9749900578	301375.0028580428	2	3
3444295.097336307	301359.1844878446	2	3
3444286.3782231025	301349.1207797405	2	3
3444275.5006055324	301333.30235267594	2	3
3444266.781515082	301323.2386043619	2	3
3443866.847651172	300842.6629268333	2	3
3444381.0539325643	300869.6918552421	2	3
3444401.9992203233	300861.5153954362	2	3
3444406.498270749	300841.1253281141	2	3
3444430.733237893	300836.3435598229	2	3
3444440.5795348203	300813.25132520613	2	3
3444466.9634586424	300804.4792793677	2	3
3444591.9035473187	300518.80131458875	2	3
3444622.5914739724	300476.28646714846	2	3
3445388.1995594497	300349.4881343664	2	3
3446052.6410506847	302075.250677524	2	3
3444693.804250202	302004.022913221	2	3
3444353.669470567	302818.9393520835	2	3
3444048.722853292	301237.9718790304	2	3
3444257.6128425603	301339.28128397686	2	3
3444278.45382701	301363.2115824978	2	3
3444291.4900460574	301384.7846403842	2	3
3443473.6858277307	301076.9958743071	0	0
3438255.2556155086	303228.47636586655	4	6
3439202.251374843	302871.7303045704	4	8
3439270.896242557	301741.67153440055	4	10
3436718.119925622	307937.48284806224	4	10
3436919.0499285567	307645.07498879987	2	3
3437103.34185428	307506.8876120858	4	6
3437597.15726658	306358.02395769267	0	0
3437188.5651689353	307135.81494107074	4	10
3436643.894523846	308266.1670247096	2	3
3438963.8473483156	305535.1551621637	2	3
3439026.0114332745	305722.53557899944	0	0
3438936.743175941	305287.6205846047	4	6
3437814.868065411	305861.1780724756	2	3
3438237.087551692	305944.15173598105	2	3
3438226.328755593	305952.0612552595	2	3
3438215.569962352	305959.97079678497	2	3
3438204.8111760267	305967.8803549681	2	3
3437473.564006061	305508.92915722175	2	3
3439357.059806262	305364.4969204912	4	10
3439776.0098123527	304811.2603539747	0	0
3439277.620836876	305825.4245474265	0	0
3439471.4884599466	305592.0705590312	0	0
3439159.5304299	306434.28186852735	4	10
3438712.423429224	305875.8204411052	0	0
3438243.886282956	305987.72303523077	0	0
3438152.456925201	306043.887887702	0	0
3438221.444607795	305974.4800354139	0	0
3438232.2033933783	305966.57048689073	0	0
3438242.962185879	305958.66095502523	0	0
3438253.7209852957	305950.75143981975	0	0
3438271.1626547184	305940.5749150955	0	0
3438281.9214698994	305932.66544066306	0	0
3438292.680291998	305924.75598289	0	0
3438315.3309320924	305914.24778624665	0	0
3438085.493575988	306477.64342708705	2	3
3437601.794760636	307046.8723532834	2	3
3437572.9141091956	307499.73019179207	2	3
3437553.4478122992	307520.8169103483	2	3
3437523.104821269	307545.99419566325	2	3
3437125.2969025457	308190.19822630903	2	3
3440306.5361770475	305348.68756070547	2	3
3441048.752652463	305651.8369745602	2	3
3440452.0169230453	304798.5309881996	4	10
3420119.836411685	308091.5069446697	0	0
3421112.9309313274	308408.4071492812	4	10
3420299.919549736	307847.27958546765	0	0
3420243.727471356	307640.50642747147	0	0
3420287.791150058	307657.02888983564	0	0
3420331.854850397	307673.5512287421	0	0
3420902.8654907197	307916.53863929695	0	0
3420983.44425919	308012.3600535743	0	0
3419892.8314576293	307998.0797053494	0	0
3418071.16950868	310778.95014004566	4	10
3417751.140831272	311457.41545438423	2	3
3418363.637353136	310453.9353410543	2	3
3418821.278060567	309271.74527545023	4	10
3418530.402216767	311272.085012107	4	10
3418168.590221641	311639.52738898626	4	10
3417838.1854590243	312496.93619101535	4	10
3418549.666437271	311850.52246832044	2	3
3418224.266865495	312302.925236714	2	3
3419998.1438308046	308894.3831663144	2	3
3419864.9647739073	309275.08557795506	2	3
3418849.0071769683	312306.19909126847	2	3
3419034.975871545	311921.5821018712	4	10
3419480.528897533	312020.57379093353	2	3
3419094.5095308363	312957.97579595627	2	3
3418697.2722460013	313264.33376077603	2	3
3419348.3204574287	313569.17207421124	2	3
3419549.3213557913	312845.4205049545	2	3
3419720.0670379624	313485.3742599692	2	3
3419828.4543270865	313727.33408929856	4	10
3419894.1539857136	314369.4129493768	2	3
3420111.637549457	315002.4529738055	4	10
3419330.0051044943	314102.4074291316	2	3
3418961.7748319414	314094.5875548675	4	6
3422875.2491714447	309286.232653068	4	10
3421206.242137049	309590.5752226149	2	3
3420155.0070013157	308948.44089409383	4	10
3419511.0282553392	309125.60739882826	4	6
3422044.2102248725	310469.63179579686	4	7
3419771.318116898	310655.9181183115	0	0
3420374.9943037867	314255.49106354447	2	3
3420145.8628674843	312970.0249644938	2	3
3420385.340879359	314935.63631133625	2	3
3425313.258524705	310768.4289541587	2	3
3424582.0185594414	310723.1146016104	2	3
3424417.8071122356	310670.98613840155	2	3
3424517.1173414523	310650.29868969624	2	3
3423861.0256623575	310902.4687473516	2	3
3424103.722836544	311210.72815083934	2	3
3424074.459588466	311191.8207004851	2	3
3424069.3662989056	311170.4224341626	2	3
3423464.9346417384	311000.8356545121	2	3
3423450.3039559135	310983.28566421656	2	3
3425961.7254455737	311106.42554534436	4	10
3427985.974063146	308937.36882912356	4	6
3427666.5043266313	309484.17657045095	4	6
3427159.435524995	310955.88857055374	2	3
3427040.6013027453	310030.4389952997	0	0
3427979.686624368	310295.10839225375	2	3
3428183.574599438	311352.00113549427	2	3
3428569.918891957	311180.6163879883	2	3
3428608.9618067937	311438.67027136293	2	3
3428676.526362861	310085.30929336656	4	6
3428190.4743819446	311743.33456953824	2	3
3427438.757329797	311125.2939303131	4	10
3425652.4964598594	311096.5879495909	2	3
3424966.1287170905	311072.86681751773	2	3
3424995.0101724146	311225.48291609663	2	3
3426818.850655965	311489.0564529312	4	6
3427065.69072336	311110.7125206374	4	6
3429313.0814412124	311472.3011214096	2	3
3429236.667126875	311614.6307995699	2	3
3428899.0617753435	311439.43526478193	2	3
3429060.0051959814	309290.9224740065	4	7
3428489.508837055	308565.07680357475	4	10
3420365.207419015	312225.70480584126	0	0
3429673.4359926865	314427.3626939381	4	10
3429644.664559046	315534.83211048535	0	0
3429999.0883398647	314939.9954185599	2	3
3430544.446418766	314857.7820614999	2	3
3430078.2479071594	315622.9924979982	2	3
3430145.2892457405	316460.1508293778	1	2
3430446.2880615056	316630.16987170983	1	2
3430562.978912529	315532.11150378827	2	3
3430751.2306587086	314204.2661386289	4	10
3431170.0275852312	313545.7889519015	4	7
3429783.268268498	314390.11694653815	2	3
3429582.5217642137	316470.85185901256	2	3
3431064.044124306	314727.878744127	2	3
3431804.8753516087	312513.4659561111	0	0
3431177.082050865	315390.6000430474	2	3
3431704.7884102226	314590.494063979	2	3
3432570.5032390472	312707.45758649206	1	2
3432738.1286444836	312654.884983999	0	0
3431789.2017659405	315278.75508867746	2	3
3432189.214950001	314971.6217814529	2	3
3432792.3621312147	313048.6253535726	4	6
3432451.809039158	314882.136234779	2	3
3432303.311370962	315390.72705795465	2	3
3432275.9617365114	315689.29449067137	2	3
3433071.2931960328	312451.2910892287	4	6
3434127.5234904736	312567.28649025614	4	6
3433040.3542407257	312744.86653488706	4	6
3433762.8909452786	312531.10284641536	4	6
3433770.6056600334	312552.3714736138	4	6
3434078.9096619664	312553.3279914552	4	6
3432223.867818216	312130.44402934617	2	3
3434289.3430029666	312618.5476406994	0	0
3434181.3799924105	312946.19738730934	4	10
3433948.4231626457	312652.96130583325	4	7
3434129.438219507	312696.2894087928	4	7
3434089.6487301816	312752.7545074617	4	7
3434028.710452284	312711.34884115355	4	7
3434029.114247773	312686.0287597711	4	7
3432180.2248181268	313356.22650608525	4	6
3432982.7156649507	312799.74666887923	4	10
3431696.247828583	314252.49924733007	4	10
3434370.2782273013	312959.7706211049	2	3
3434318.430840506	312504.9835964172	2	3
3434600.312876909	312851.664816433	4	8
3433235.83481673	315868.037779098	4	8
3432595.8059479897	314430.59286474803	2	3
3430704.605332705	316907.2041494521	2	3
3430294.5413649078	316991.3035541037	2	3
3430500.002409307	316068.11738168617	4	10
3429210.813944977	313282.142676811	4	10
3428070.609288967	312348.0600850221	2	3
3428435.1036065444	312514.98620229604	2	3
3428446.1141942926	312602.47065675433	2	3
3428354.0324951806	312582.05223258014	2	3
3427744.955680362	312238.30651918054	4	10
3428465.725828416	312345.45927129	2	3
3428625.230471222	312392.13936650445	2	3
3428641.9757801495	312410.3046383228	2	3
3428679.9853005186	312438.45950250374	2	3
3428947.060304093	312829.44725970953	2	3
3415476.406576839	316178.3584409245	2	3
3415147.2250036914	316425.15053107473	2	3
3416000.595842801	315945.06520948966	2	3
3415954.1841437453	316297.9473359102	2	3
3415938.833922936	316266.15768280043	2	3
3415925.8222349673	316244.7876412171	2	3
3415914.9082359527	316221.3138612407	2	3
3415906.914435728	316209.347681435	2	3
3415896.0005107922	316185.87382042164	2	3
3415891.4538536835	316168.44603358547	2	3
3415866.9394230614	316128.37668439595	2	3
3415848.7316884836	316097.273147907	2	3
3415991.8107522908	316677.06471289246	4	10
3416480.628691182	315127.10664704756	4	10
3416177.275260645	316876.01918089925	4	10
3416549.8620884074	315463.9260643762	2	3
3416160.531562844	316591.55055906763	4	10
3416239.0705209877	315337.3913292832	4	10
3416675.3764419924	315133.0009410909	2	3
3416645.4835872287	315645.4880643225	0	0
3416700.5323249963	315747.0388217802	2	3
3416360.1033225674	315794.2533858201	2	3
3415828.6838195156	317213.12654268456	2	3
3416780.049424244	315874.54178201046	4	6
3416152.613965526	317181.7206105573	2	3
3416437.911581021	316864.6357409671	2	3
3416468.412561038	317743.03934337664	2	3
3416708.497092597	317022.9157209267	2	3
3416749.6055800817	317605.39390083414	2	3
3417395.978265451	316217.6853492171	0	0
3417442.903463326	316350.373269889	0	0
3416850.04476609	316606.15504710213	2	3
3417572.7531297733	316304.79629121517	0	0
3417746.2610066747	316382.20358229073	0	0
3416942.8243692075	318131.37012283155	2	3
3417343.442090758	316473.07054986357	2	3
3417276.5500461897	317825.3301726238	2	3
3417856.7551134834	318449.23301097646	0	0
3417404.732355933	318708.1737003364	2	3
3417875.6114208815	318365.7221214036	2	3
3417496.8808950786	319040.2306452386	4	10
3415853.132528668	317719.94036993815	2	3
3416687.541927752	317972.9483255311	2	3
3418290.820499085	316562.2369825354	4	6
3417760.168933786	317126.9670506573	4	10
3417767.5395829314	318354.4318336771	4	10
3417803.9587374893	318228.3126733247	4	10
3417158.7840492367	315705.0515279454	0	0
3423907.313264268	314635.52087782027	0	0
3423913.249264549	314804.7695557102	0	0
3423909.79672083	315064.5628741266	0	0
3424031.3871117225	314849.961819899	2	3
3424113.3076245934	315094.8260678845	4	6
3424164.769182314	315040.7410492904	2	3
3423936.575437359	314140.9726705952	4	10
3424110.2279634825	315947.364416092	0	0
3423839.609012579	315867.1618230209	4	10
3423962.7941381647	313424.85022660886	4	10
3423358.2703779195	315050.4476811816	4	7
3423682.2491289293	314436.82841447537	0	0
3424123.440252482	316425.033452737	4	7
3424540.6939603295	315937.8562907071	2	3
3423965.8876816076	317087.6557587174	4	10
3424840.440972401	315934.38689606084	2	3
3424603.7362159966	316530.5533036947	2	3
3424543.4875007356	317571.88006891485	2	3
3424859.283790722	316612.22886726144	2	3
3424594.847317655	317139.344544945	2	3
3425108.9668000587	316420.656929474	2	3
3424564.0262831636	318142.07292035664	2	3
3424574.7091448265	318648.4975265638	4	7
3424907.978137239	316859.9553330036	2	3
3424842.0779593517	318133.3402898914	4	10
3424855.737224895	318639.0481839803	2	3
3425458.9228653116	316959.4635813141	2	3
3424874.6811680426	319051.07344236143	2	3
3425142.985341563	318078.64590378845	2	3
3425066.9707886167	318675.6058665712	4	10
3425083.073661691	319050.54395866196	4	10
3424316.7281890255	321464.75078736834	2	3
3424600.9865730237	321739.09496819874	2	3
3424591.3236075332	321777.84241868026	2	3
3424368.440452638	322156.41078116925	2	3
3423903.4741826667	319031.22819511907	4	6
3424122.106457419	318748.9594643101	4	6
3424287.274446569	322946.2815793876	4	7
3423811.100415747	322405.8323693585	4	10
3423967.000364166	321691.299640213	4	10
3423293.536191196	321122.0648452824	4	9
3426714.1295556617	317103.3783261716	0	0
3426481.4525307138	316836.07918888563	2	3
3426300.1651885617	316953.246036929	2	3
3426244.5321071516	316961.09379649756	2	3
3426214.282992549	316982.349236657	2	3
3426112.0338958004	317061.24237974145	2	3
3426052.083264989	317146.4271205297	2	3
3425936.6381510315	316846.31335027947	2	3
3426211.300960682	316591.1592189762	2	3
3425811.4272203133	317340.5729636086	2	3
3424923.7979500457	313652.0485476251	4	9
3424760.532826495	313905.35407813673	4	9
3424731.5256047742	313931.17748126783	4	9
3425037.788581774	315742.49817482807	2	3
3425468.735754421	317342.9353135319	2	3
3424463.403687097	314535.32711353205	4	10
3425283.8922189046	317786.26452478586	2	3
3425568.97221057	318017.6842231215	2	3
3425001.713927241	321564.006670696	2	3
3424584.5342110507	320213.2285876363	2	3
3471067.953906156	320550.2858436248	2	3
3471746.6379609345	320412.46021713375	2	3
3426546.7664378947	321950.52987593727	0	0
3426665.577991185	321788.1266971196	0	0
3438462.3490175386	322194.33032820286	0	0
3438876.009679678	322630.5355474413	0	0
3439690.2003366286	319899.65768922766	4	10
3439731.306539666	320505.8659481924	4	10
3439411.2917089434	321962.5162036722	2	3
3440170.4707733607	320586.3897767725	0	0
3440103.1258667135	320719.3646446558	4	10
3439662.6990227383	321111.4947658406	2	3
3439323.972763958	321584.19233054406	2	3
3439073.1399696646	322125.47249459795	2	3
3438525.9320521876	321520.5559564801	4	7
3440183.615315528	319945.2065337432	2	3
3440283.8406745186	320542.32191228826	4	10
3439823.205131582	321738.8311905364	2	3
3439002.7866702233	323220.36673450575	4	10
